No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara,,,,,
163,CG,32,34,SD,SMA,t.a,t.a,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
164,CG,36,41,SMA,SMA,Honorer,Pengusaha Warkop,2,0,Ekonomi,Tidak Cerai,,,,,
165,CG,27,27,SD,SD,t.a,Petani,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
166,CG,28,28,SD,SMA,t.a,Karyawan Alfamidi,8,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
167,CT,35,34,SMA,SD,Supir,t.a,10,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
168,CT,26,28,SD,SD,Supir,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
169,CG,49,49,SMA,SMA,t.a,Penjual Campuran,11,1,Meninggalkan Salah Satu Pihak,Tidak Cerai,,,,,
170,CG,53,52,SD,SD,t.a,Petani,21,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
171,CG,32,39,SD,SMP,t.a,Petani,12,2,Judi,Cerai,,,,,
172,CT,35,29,SMA,SMP,Security,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
173,CG,34,47,SD,SD,Penjual Makanan,t.a,11,1,Ekonomi,Tidak Cerai,,,,,
174,CT,35,33,S1,D3,Pengemudi Ojek Online,Perawat,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
175,CG,39,52,SD,SD,t.a,Petugas Kebersihan,18,3,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
176,CG,25,26,SMA,SD,t.a,Petani,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
177,CG,45,48,SMA,SMP,t.a,Supir,23,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
178,CG,29,39,S1,SMA,Honorer,t.a,8,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
179,CG,26,27,SD,SMA,t.a,Security,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
180,CG,49,43,SD,SMP,t.a,Buruh Bangunan,7,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
